Rank,State,District,Gerrymander Score,Geometry,Party
144,Alabama,4,81.72,,R
115,Alabama,1,83.79,,R
284,Alabama,5,71.32,,R
84,Alabama,6,86.24,,R
75,Alabama,7,86.87,,D
204,Alabama,3,77.76,,R
207,Alabama,2,77.6,,R
410,Arizona,5,47.9,,R
174,Arizona,1,79.59,,D
375,Arizona,7,57.95,,D
406,Arizona,2,51.04,,D
170,Arizona,8,79.83,,R
248,Arizona,3,73.95,,D
103,Arizona,9,84.42,,D
55,Arizona,4,87.89,,R
310,Arizona,6,68.29,,R
240,Arkansas,2,75.54,,R
87,Arkansas,3,85.99,,R
73,Arkansas,1,87.03,,R
283,Arkansas,4,71.77,,R
322,California,37,67.15,,D
257,California,16,73.69,,D
223,California,18,76.86,,D
288,California,4,70.76,,R
120,California,5,83.42,,D
149,California,41,80.95,,D
30,California,31,91.23,,R
126,California,47,83.23,,D
49,California,42,88.73,,R
150,California,26,80.92,,D
208,California,50,77.54,,R
349,California,36,63.21,,D
289,California,1,70.75,,R
342,California,13,63.75,,D
264,California,46,73.37,,D
189,California,29,78.66,,D
339,California,12,64.41,,D
146,California,38,81.39,,D
228,California,11,76.35,,D
179,California,39,79.12,,R
329,California,9,65.34,,D
131,California,22,82.75,,R
137,California,2,82.14,,D
61,California,32,87.56,,D
251,California,48,73.89,,R
230,California,51,76.28,,D
156,California,21,80.75,,R
203,California,25,77.83,,R
167,California,6,79.99,,D
157,California,49,80.73,,R
243,California,17,75.1,,D
267,California,14,73.27,,D
206,California,27,77.61,,D
105,California,53,84.4,,D
53,California,52,88.07,,D
129,California,28,82.99,,D
195,California,19,78.15,,D
101,California,3,84.53,,D
296,California,15,69.96,,D
323,California,10,67.06,,R
155,California,33,80.77,,D
161,California,30,80.5,,D
162,California,23,80.26,,R
158,California,24,80.7,,D
371,California,20,59.12,,D
196,California,40,78.15,,D
287,California,43,70.82,,D
268,California,34,73,,D
205,California,35,77.65,,D
388,California,7,54.84,,D
280,California,8,71.95,,R
225,California,44,76.7,,D
318,California,45,67.58,,R
353,Colorado,4,62.93,,R
52,Colorado,6,88.12,,R
214,Colorado,2,77.3,,D
337,Colorado,3,64.52,,R
365,Colorado,5,59.99,,R
94,Colorado,7,85.36,,D
38,Colorado,1,90.14,,D
384,Connecticut,2,56.02,,D
164,Connecticut,3,80.16,,D
134,Connecticut,1,82.43,,D
211,Connecticut,5,77.43,,D
316,Connecticut,4,67.69,,D
372,Florida,8,58.8,,R
321,Florida,11,67.22,,R
190,Florida,7,78.52,,R
165,Florida,10,80.11,,R
258,Florida,15,73.66,,R
246,Florida,6,74.39,,R
364,Florida,12,60.19,,R
299,Florida,19,69.67,,
224,Florida,23,76.85,,D
198,Florida,20,78.09,,D
382,Florida,13,56.61,,R
172,Florida,26,79.67,,D
282,Florida,24,71.79,,D
378,Florida,27,57.15,,R
334,Florida,17,64.89,,R
74,Florida,4,86.96,,R
343,Florida,3,63.43,,R
374,Florida,2,58.1,,R
71,Florida,22,87.11,,D
245,Florida,14,74.94,,D
357,Florida,1,62.09,,R
314,Florida,25,67.96,,R
313,Florida,9,68.04,,D
3,Florida,5,96.14,,D
402,Florida,18,52.67,,D
399,Florida,16,52.94,,R
262,Florida,21,73.59,,D
275,Georgia,10,72.53,,R
295,Georgia,9,70.14,,R
109,Georgia,8,84.25,,R
279,Georgia,11,72.1,,R
277,Georgia,3,72.14,,R
300,Georgia,2,69.27,,D
274,Georgia,6,72.6,,R
269,Georgia,4,73,,D
302,Georgia,14,69.14,,R
348,Georgia,5,63.22,,D
116,Georgia,13,83.71,,D
261,Georgia,7,73.6,,R
141,Georgia,12,81.84,,D
202,Georgia,1,77.96,,R
119,Illinois,14,83.45,,R
178,Illinois,15,79.19,,R
56,Illinois,11,87.85,,D
226,Illinois,16,76.54,,R
57,Illinois,8,87.74,,D
32,Illinois,5,90.75,,D
122,Illinois,3,83.38,,D
237,Illinois,12,76.01,,D
148,Illinois,13,81.16,,R
145,Illinois,10,81.66,,D
70,Illinois,9,87.13,,D
218,Illinois,18,77.21,,R
17,Illinois,7,92.39,,D
9,Illinois,4,94.55,,D
62,Illinois,1,87.54,,D
159,Illinois,17,80.69,,D
46,Illinois,6,89.12,,R
338,Illinois,2,64.49,,D
416,Indiana,1,42.11,,D
398,Indiana,2,53.03,,R
331,Indiana,5,65.16,,R
182,Indiana,8,78.97,,R
376,Indiana,4,57.63,,R
